Date,Name,Year,Letterboxd URI,Rating,director,country,genres,themes,Major Genre,ratingCount,communityScoreRaw,communityScoreWeighted
2019-02-16,Silent Hill,2006,https://boxd.it/2a3C,3.0,Christophe Gans,canada,"['horror', 'mystery']","['Horror, the undead and monster classics', 'Monsters, aliens, sci-fi and the apocalypse', 'Intense violence and sexual transgression']",horror,71523,6,3.03
2019-02-16,Candyman,1992,https://boxd.it/1Ys6,3.0,Bernard Rose,usa,"['drama', 'thriller', 'horror']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",drama,113139,7,3.65
2019-02-16,"As Above, So Below",2014,https://boxd.it/7yui,2.5,John Erick Dowdle,france,"['horror', 'thriller']","['Horror, the undead and monster classics', 'Monsters, aliens, sci-fi and the apocalypse']",horror,89931,7,3.15
2019-02-16,V/H/S,2012,https://boxd.it/2Y1c,4.0,Joe Swanberg,usa,"['horror', 'thriller']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",horror,50035,5,2.88
2019-02-16,Hostel,2005,https://boxd.it/28ig,4.0,Eli Roth,czechia,['horror'],"['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",horror,75516,8,2.73
2019-02-16,Halloween,2007,https://boxd.it/27u6,3.5,Rob Zombie,usa,['horror'],"['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",horror,60445,7,2.73
2019-02-16,Creep 2,2017,https://boxd.it/dSEO,3.5,Patrick Brice,usa,"['horror', 'thriller']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression', 'Thrillers and murder mysteries']",horror,61446,6,3.37
2019-02-16,Jeepers Creepers,2001,https://boxd.it/1ZAg,3.0,Victor Salva,germany,"['horror', 'thriller']","['Horror, the undead and monster classics', 'Monsters, aliens, sci-fi and the apocalypse']",horror,60005,5,3.05
2019-02-16,Slither,2006,https://boxd.it/1Zks,3.0,James Gunn,canada,"['science-fiction', 'comedy', 'horror']","['Horror, the undead and monster classics', 'Monsters, aliens, sci-fi and the apocalypse']",science-fiction,39564,7,3.29
2019-02-16,The Devil's Rejects,2005,https://boxd.it/28hC,4.0,Rob Zombie,germany,"['crime', 'horror', 'drama']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",crime,42421,9,3.37
2019-02-16,The Hills Have Eyes,2006,https://boxd.it/1XNC,3.5,Alexandre Aja,france,"['thriller', 'horror']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression', 'Monsters, aliens, sci-fi and the apocalypse']",thriller,50215,1,3.04
2019-02-16,Saw IV,2007,https://boxd.it/29Sa,3.0,Darren Lynn Bousman,canada,"['thriller', 'horror', 'crime']","['Horror, the undead and monster classics', 'Thrillers and murder mysteries', 'Intense violence and sexual transgression']",horror,67979,6,2.62
2019-02-16,The Grudge,2004,https://boxd.it/27Jq,4.0,Takashi Shimizu,japan,"['mystery', 'thriller', 'horror']","['Horror, the undead and monster classics']",mystery,52731,8,2.78
2019-02-16,Children of the Corn,1984,https://boxd.it/1ViW,3.5,Fritz Kiersch,usa,"['thriller', 'horror']","['Horror, the undead and monster classics', 'Monsters, aliens, sci-fi and the apocalypse']",thriller,46510,4,2.75
2019-02-16,Paranormal Activity 2,2010,https://boxd.it/ZnO,2.5,Tod Williams,usa,"['horror', 'mystery', 'fantasy']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",horror,53177,4,2.55
2019-02-16,V/H/S/2,2013,https://boxd.it/4Ysw,2.5,Eduardo Sanchez 2,usa,"['thriller', 'horror']","['Horror, the undead and monster classics', 'Monsters, aliens, sci-fi and the apocalypse']",thriller,31101,8,2.97
2019-02-16,The Human Centipede (First Sequence),2009,https://boxd.it/18Tu,3.0,Tom Six 1,netherlands,['horror'],"['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",horror,53774,3,2.01
2019-02-16,Housebound,2014,https://boxd.it/7qOk,2.5,Gerard Johnstone,new-zealand,"['horror', 'comedy', 'thriller']","['Horror, the undead and monster classics', 'Crude humor and satire']",comedy,20647,7,3.42
2019-02-16,Rubber,2010,https://boxd.it/P2m,3.0,Quentin Dupieux,france,"['horror', 'mystery', 'comedy', 'fantasy', 'drama']","['Horror, the undead and monster classics', 'Crude humor and satire', 'Monsters, aliens, sci-fi and the apocalypse']",horror,31121,3,2.82
2019-02-16,Saw V,2008,https://boxd.it/1SMa,2.5,David Hackl,canada,"['crime', 'thriller', 'horror']","['Horror, the undead and monster classics', 'Thrillers and murder mysteries', 'Intense violence and sexual transgression']",crime,60035,2,2.56
2019-02-16,John Dies at the End,2012,https://boxd.it/2BSW,2.0,Don Coscarelli,usa,"['horror', 'comedy']","['Horror, the undead and monster classics', 'Monsters, aliens, sci-fi and the apocalypse', 'Crude humor and satire']",comedy,19175,8,3.1
2019-02-16,Snakes on a Plane,2006,https://boxd.it/2aAw,3.0,David R Ellis,usa,"['action', 'crime', 'thriller', 'horror']","['Monsters, aliens, sci-fi and the apocalypse', 'Horror, the undead and monster classics', 'Crude humor and satire']",action,48543,3,2.43
